GroupNumber    M200[Msol]    fdisk    fbulge    fihl    DtoT_30kpc    kappa_co_30kpc    f_gt_100kpc    f_gt_30kpc    f_gt_2r50    disk_t50    disk_r50    disk_sfr    bulge_t50    bulge_r50    bulge_sfr    ihl_t50    ihl_r50    ihl_sfr
1 1.871038e+14	0.000000e+00 6.513067e-01 3.486933e-01 1.342821e-02 1.752449e-01 4.517813e-01 6.602233e-01 3.704383e-01 nan nan nan 1.090011e+01 2.785600e+01 8.091377e+00 1.043152e+01 4.205299e+02 3.818152e+00
2 3.737022e+14 0.000000e+00 5.461178e-01 4.538822e-01 1.700912e-02 1.619336e-01 6.437574e-01 8.145466e-01 2.881633e-01 nan nan nan 1.066119e+01 5.964846e+01 2.043975e+01 9.775348e+00 5.215049e+02 1.816263e+01
3 3.002237e+14 0.000000e+00 7.483812e-01 2.516188e-01 5.039553e-02 1.862393e-01 5.989513e-01 8.264227e-01 3.403355e-01 nan nan nan 1.024793e+01 9.064612e+01 1.371943e+01 9.685904e+00 7.532150e+02 6.200406e+00
4 3.070540e+14 0.000000e+00 5.173696e-01 4.826304e-01 6.230545e-03 1.729738e-01 5.456983e-01 7.596016e-01 3.511111e-01 nan nan nan 1.108461e+01 3.418228e+01 1.744610e+01 1.012835e+01 3.930900e+02 1.682921e+01
5 1.962864e+14 0.000000e+00 6.628323e-01 3.371677e-01 1.853054e-01 2.021633e-01 5.913994e-01 7.491191e-01 3.928152e-01 nan nan nan 1.033359e+01 6.270599e+01 1.474821e+01 9.655095e+00 6.871122e+02 2.815788e+00
6 1.984940e+14 0.000000e+00 7.553707e-01 2.446293e-01 4.078069e-02 1.735150e-01 4.507659e-01 7.113262e-01 3.604791e-01 nan nan nan 1.101021e+01 4.767134e+01 4.815415e+00 9.933156e+00 4.603710e+02 2.484555e+00
7 1.302163e+14 0.000000e+00 8.402031e-01 1.597969e-01 4.242547e-02 1.934834e-01 6.752261e-01 7.725822e-01 3.307473e-01 nan nan nan 9.513365e+00 2.514848e+02 4.452055e+00 9.559592e+00 9.238337e+02 1.005942e+00
8 9.257247e+13 0.000000e+00 7.504218e-01 2.495782e-01 7.012270e-02 1.857515e-01 3.326937e-01 5.331505e-01 3.815272e-01 nan nan nan 1.051066e+01 1.592954e+01 1.387888e+01 1.022395e+01 2.761196e+02 3.347266e+00
9 9.388496e+13 0.000000e+00 6.907371e-01 3.092629e-01 1.617837e-01 1.499785e-01 3.592430e-01 6.322089e-01 3.361619e-01 nan nan nan 9.975187e+00 2.694238e+01 4.784092e+00 9.691164e+00 2.730306e+02 4.975725e+00
10 9.586541e+13 0.000000e+00 5.070645e-01 4.929355e-01 3.747473e-01 3.023201e-01 3.516832e-01 5.625285e-01 3.761207e-01 nan nan nan 1.003461e+01 7.831082e+00 3.602525e+00 9.869673e+00 1.608268e+02 5.860415e+00
11 7.537046e+13 0.000000e+00 6.212904e-01 3.787096e-01 1.429428e-01 2.963586e-01 2.957433e-01 5.307550e-01 3.645382e-01 nan nan nan 1.023605e+01 1.388629e+01 1.075730e+00 1.032910e+01 1.778634e+02 7.330768e-01
12 7.816853e+13 0.000000e+00 6.086213e-01 3.913787e-01 1.246346e-01 2.405637e-01 3.279251e-01 5.548636e-01 3.680312e-01 nan nan nan 1.073812e+01 1.377584e+01 1.326147e+01 9.844211e+00 2.224249e+02 1.417241e+00
13 6.221046e+13 0.000000e+00 7.806542e-01 2.193458e-01 2.229308e-02 1.512117e-01 2.462345e-01 4.916289e-01 3.529184e-01 nan nan nan 1.047596e+01 1.726729e+01 1.245881e+00 1.054027e+01 2.408346e+02 1.723757e+00
14 4.746193e+13 0.000000e+00 6.460863e-01 3.539137e-01 2.563695e-02 1.533525e-01 3.290192e-01 4.757696e-01 4.169547e-01 nan nan nan 1.012075e+01 7.835130e+00 6.852187e-01 8.869372e+00 1.901266e+02 3.826507e+00
15 6.060856e+13 0.000000e+00 7.787324e-01 2.212676e-01 5.514313e-02 1.453240e-01 3.607256e-01 6.863502e-01 3.229526e-01 nan nan nan 9.726291e+00 4.016409e+01 1.952763e+00 9.899891e+00 3.033175e+02 1.097522e+00
16 7.468743e+13 0.000000e+00 5.992418e-01 4.007582e-01 5.381242e-02 1.746193e-01 3.476471e-01 5.611574e-01 3.705337e-01 nan nan nan 1.069807e+01 1.105112e+01 4.898194e+00 1.033770e+01 1.939383e+02 1.902915e+00
17 4.854467e+13 0.000000e+00 7.652701e-01 2.347299e-01 3.853544e-01 2.732466e-01 2.571779e-01 5.149355e-01 3.281063e-01 nan nan nan 1.001578e+01 1.766166e+01 1.287180e+00 1.003057e+01 2.740194e+02 1.201883e+00
18 6.743682e+13 0.000000e+00 7.026753e-01 2.973247e-01 5.050989e-02 1.679649e-01 3.293671e-01 5.899895e-01 3.255816e-01 nan nan nan 1.148766e+01 2.110771e+01 4.475337e+00 1.086202e+01 2.338685e+02 9.223371e-01
19 5.680562e+13 0.000000e+00 7.171335e-01 2.828665e-01 9.480524e-02 1.497883e-01 2.412182e-01 4.209655e-01 3.639999e-01 nan nan nan 1.029068e+01 1.094106e+01 1.700716e+00 1.011441e+01 2.407243e+02 1.270343e+00
20 5.801040e+13 0.000000e+00 6.257945e-01 3.742055e-01 1.155442e-01 1.658088e-01 3.469742e-01 5.589145e-01 3.707493e-01 nan nan nan 1.055224e+01 1.389992e+01 7.681394e-01 9.949690e+00 2.466857e+02 1.714930e+00
21 5.745025e+13 0.000000e+00 6.811666e-01 3.188334e-01 9.656653e-02 1.835909e-01 2.665893e-01 4.857569e-01 3.777568e-01 nan nan nan 1.093056e+01 1.042836e+01 1.887897e+01 1.037855e+01 1.804458e+02 5.518440e-01
22 5.338446e+13 0.000000e+00 7.359491e-01 2.640509e-01 5.870587e-02 1.850910e-01 2.509468e-01 4.625623e-01 3.641391e-01 nan nan nan 1.058717e+01 1.442131e+01 3.372189e+00 1.031485e+01 2.115200e+02 1.197928e+00
23 4.487451e+13 2.780771e-01 4.164762e-01 3.054467e-01 3.573323e-01 3.552145e-01 2.268240e-01 4.257011e-01 3.742292e-01 7.842353e+00 1.217921e+01 6.132137e+00 1.138701e+01 7.981955e+00 4.239853e-01 1.061044e+01 1.190117e+02 8.015593e-01
